,label,diff,s1_pad,s2_pad,s1,s2
4299,0.0,0.0,29,55,[CLS] 북한이 개방하고 발전해도 반드시 지켜야 할 것은 ~ ~ ~ ~ ~ ~ ~ ~ ~ ^ ^ [SEP]                             ,[CLS] 기초수급자 소득기준을 높여야 합니다. ~ ~ ~ ~ ~ ~ ~ ^ ^ ^ ^ [SEP]                                                       
3723,3.2,0.0,36,32,[CLS] 여기 혹시 피플팀 채널이던가요? [SEP]                                    ,[CLS] 사람팀 채널이었나? [SEP]                                
5832,3.8,0.0,20,20,[CLS] 오늘 백스 많이 기대했었는데 지쳐가던 금요일에 활력을 확실히 불어넣어주셨습니다! [SEP]                    ,[CLS] 오늘 백스 많이 기대했는데 피곤한 금요일에 확실히 활력소가 되었어요! [SEP]                    
4279,0.4,0.0,30,66,[CLS] 반성과 자숙기간을 3일동안 가지고 다음주 월요일에 복귀하겠습니다ㅋㅋ [SEP]                              ,[CLS] 다음주아니고 다다음주 목요일입니다ㅋㅋ [SEP]                                                                  
5348,3.2,0.0,37,37,[CLS] 히딩크감독님을 모셔와야합니다 [SEP]                                     ,[CLS] 히딩크감독을 다시 대한민국 축구 감독으로 [SEP]                                     
8317,0.0,0.0,34,30,[CLS] 기타 설정 하겠습니다 [SEP]                                  ,[CLS] 그러면 이해하겠습니다 [SEP]                              
7099,4.0,0.0,33,38,[CLS] 아동수당 모두에게 지급하시오 [SEP]                                 ,[CLS] 아동수당은 모두에게 지급되어야 합니다. [SEP]                                      
7678,0.0,0.0,20,29,"[CLS] 비오는 날 무거운 몸을 이끌고, 토요일 저녁 한시간 뛰기 하고 왔습니다. [SEP]                    ",[CLS] 주말동안 빅스웰이 찾아온 중문에서 서핑하고 왔습니다. [SEP]                             
8389,0.0,0.0,32,29,[CLS] 돌봄교실 학교 밖으로 내보지 말아 주세요 [SEP]                                ,[CLS] 제발 성범죄 처벌을 가중해 주세요 [SEP]                             
1897,0.2,0.0,31,37,[CLS] 뭐가 무인이고 뭐가 의협이야... [SEP]                               ,[CLS] 뭐가 뻔하다는 건지.... [SEP]                                     
1903,0.0,0.0,37,39,[CLS] 은의자가 무척 기다려진다 ~ ~ [SEP]                                     ,[CLS] 미사키가 [UNK] 예뻐 ~ ~ [SEP]                                       
3874,0.0,0.0,34,23,[CLS] 인보이스는 여기에 모아두었습니다. [SEP]                                  ,[CLS] 해상도 높은 버전의 사진은 요기에 올려두었습니다. [SEP]                       
3567,4.2,0.0,33,33,[CLS] 그런데 이분들 누구시죠? [SEP]                                 ,[CLS] 그런데 이 사람들은 누구입니까? [SEP]                                 
3034,0.0,0.0,45,50,[CLS] 모든백신의 개인선택권을 존중해주십시오 [SEP]                                             ,[CLS] 원래의 계획대로 인상해주십시오! [SEP]                                                  
